"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","Весь мир","002","Африка","015","Северная Африка","","","Алжир","012","DZA","","","","Developing"
"001","Весь мир","002","Африка","015","Северная Африка","","","Египет","818","EGY","","","","Developing"
"001","Весь мир","002","Африка","015","Северная Африка","","","Ливия","434","LBY","","","","Developing"
"001","Весь мир","002","Африка","015","Северная Африка","","","Марокко","504","MAR","","","","Developing"
"001","Весь мир","002","Африка","015","Северная Африка","","","Судан","729","SDN","x","","","Developing"
"001","Весь мир","002","Африка","015","Северная Африка","","","Тунис","788","TUN","","","","Developing"
"001","Весь мир","002","Африка","015","Северная Африка","","","Западная Сахара","732","ESH","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Британская территория в Индийском океане","086","IOT","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Бурунди","108","BDI","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Коморские Острова","174","COM","x","","x","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Джибути","262","DJI","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Эритрея","232","ERI","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Эфиопия","231","ETH","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Южные земли (французская заморская территория)","260","ATF","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Кения","404","KEN","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Мадагаскар","450","MDG","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Малави","454","MWI","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Маврикий","480","MUS","","","x","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Остров Майотта","175","MYT","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Мозамбик","508","MOZ","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Реюньон","638","REU","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Руанда","646","RWA","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Сейшельские Острова","690","SYC","","","x","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Сомали","706","SOM","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Южный Судан","728","SSD","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Уганда","800","UGA","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Объединенная Республика Танзания","834","TZA","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Замбия","894","ZMB","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","014","Восточная Африка","Зимбабве","716","ZWE","","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Ангола","024","AGO","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Камерун","120","CMR","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Центральноафриканская Республика","140","CAF","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Чад","148","TCD","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Конго","178","COG","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Демократическая Республика Конго","180","COD","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Экваториальная Гвинея","226","GNQ","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Габон","266","GAB","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","017","Центральная Африка","Сан-Томе и Принсипи","678","STP","x","","x","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","018","Южная часть Африки","Ботсвана","072","BWA","","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","018","Южная часть Африки","Эсватини","748","SWZ","","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","018","Южная часть Африки","Лесото","426","LSO","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","018","Южная часть Африки","Намибия","516","NAM","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","018","Южная часть Африки","Южная Африка","710","ZAF","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Бенин","204","BEN","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Буркина-Фасо","854","BFA","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Кабо-Верде","132","CPV","","","x","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Кот-д'Ивуар","384","CIV","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Гамбия","270","GMB","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Гана","288","GHA","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Гвинея","324","GIN","x","","","Developing"
