"ISO3","country","region","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","who.region","who.region.mortality","continent","REGION","GEO3major","GEO3","GLOCAF","Stern","SRESmajor","SRES","GBD"
"AFG","Afghanistan","Asia","Southern Asia",NA,142,34,NA,"EMR","EMR.D","Eurasia","Asia","Asia and the Pacific","South Asia","Rest of South Asia","Central Asia","ASIA","South Asia (SAS)","Asia, South"
"ALA","Aland Islands","Europe","Northern Europe",NA,150,154,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"ALB","Albania","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.B","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"DZA","Algeria","Africa","Northern Africa",NA,2,15,NA,"AFR","AFR.D","Africa","Africa","Africa","North Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"ASM","American Samoa","Oceania","Polynesia",NA,9,61,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"AND","Andorra","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"AGO","Angola","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"AFR","AFR.D","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central"
"AIA","Anguilla","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"ATA","Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,"Antarctica","Antarctica","Polar","Antarctic",NA,NA,NA,NA,NA
"ATG","Antigua and Barbuda","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"ARG","Argentina","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Southern"
